created_at	invoice_id	item_id	category	subcategory	item	quantity	rate	amount	created_at_header	balance_due	date	ship_mode	order_id	bill_to	ship_to	discount	shipping	subtotal	total
2025-03-10 11:20:47.889354	58	TEC-PH-5355	Technology	Phones	Nokia Smart Phone, Full Size	5	2124.5	10622.5	2025-03-10 11:20:47.888987	11070.16	May 16 2012	Second Class	MX-2012-JM1558082-41045	Jill Matthias	Tulancingo, Hidalgo,, Mexico		447.66	10622.5	11070.16
2025-03-10 11:21:54.656835	219	TEC-PH-3150	Technology	Phones	Apple Speaker Phone, Cordless	8	538.24	4305.92	2025-03-10 11:21:54.656450	3547.86	Dec 27 2012	Second Class	US-2012-RR1952536-41270	Rick Reed	Santo Domingo,, Santo Domingo,, Dominican Republic	861.18	103.12	4305.92	3547.86
2025-03-10 11:21:54.902340	220	TEC-PH-5841	Technology	Phones	Samsung Smart Phone, VoIP	5	1696.64	8483.2	2025-03-10 11:21:54.901985	7490.62	Dec 27 2012	Second Class	US-2012-RR1952536-41270	Rick Reed	Santo Domingo,, Santo Domingo,, Dominican Republic	1696.64	704.06	8483.2	7490.62
2025-03-10 11:21:36.248855	379	FUR-BO-3892	Furniture	Bookcases	Dania Classic Bookcase, Traditional	5	1369.2	6846.0	2025-03-10 11:21:36.248445	6935.12	Sep 08 2012	Standard Class	MX-2012-PH1879018-41160	Patricia Hirasaki	Ijuí, Rio Grande do, Sul, Brazil		89.12	6846.0	6935.12
2025-03-10 11:22:10.091270	500	OFF-AP-3570	Office Supplies	Appliances	Breville Microwave, Black	7	1124.26	7869.79	2025-03-10 11:22:10.090898	6582.29	Nov 21 2012	First Class	MX-2012-SM2032036-41234	Sean Miller	San Juan de la, Maguana, San Juan,, Dominican Republic	1573.96	286.46	7869.79	6582.29
2025-03-10 11:22:08.144460	523	TEC-CO-3596	Technology	Copiers	Brother Fax Machine, Digital	3	635.09	1905.26	2025-03-10 11:22:08.144078	1997.95	Oct 12 2012	Standard Class	US-2012-SJ2021582-41194	Sarah Jordon	Monclova, Coahuila,, Mexico	3.81	96.5	1905.26	1997.95
2025-03-10 11:20:16.922919	579	TEC-CO-5992	Technology	Copiers	Sharp Copy Machine, Laser	3	477.12	1431.37	2025-03-10 11:20:16.922539	1508.83	Sep 27 2012	Second Class	MX-2012-DV1346539-41179	Dianna Vittorini	Mejicanos, San, Salvador, El Salvador	2.86	80.32	1431.37	1508.83
2025-03-10 11:20:17.171263	581	FUR-BO-5951	Furniture	Bookcases	Sauder Classic Bookcase, Traditional	8	2325.28	18602.24	2025-03-10 11:20:17.170866	18950.06	Sep 27 2012	Second Class	MX-2012-DV1346539-41179	Dianna Vittorini	Mejicanos, San, Salvador, El Salvador		347.82	18602.24	18950.06
2025-03-10 11:20:20.506508	625	OFF-ST-5692	Office Supplies	Storage	Rogers File Cart, Industrial	7	660.8	4625.6	2025-03-10 11:20:20.506149	4703.66	May 19 2012	Standard Class	MX-2012-EB1370539-41048	Ed Braxton	Cuscatancingo, San, Salvador, El Salvador		78.06	4625.6	4703.66
2025-03-10 11:22:02.797927	636	OFF-ST-6047	Office Supplies	Storage	Smead Lockers, Industrial	6	795.6	4773.6	2025-03-10 11:22:02.797533	4950.75	Jan 24 2013	First Class	MX-2013-RD1993026-41298	Russell D'Ascenzo	Villa Alemana,, Valparaíso, Chile		177.15	4773.6	4950.75
2025-03-10 11:20:03.635922	749	TEC-CO-4774	Technology	Copiers	HP Fax Machine, Digital	7	1395.24	9766.71	2025-03-10 11:20:03.635518	9840.5	Aug 21 2012	Standard Class	MX-2012-DV1304582-41142	Darrin Van Huff	Mexico City, Distrito, Federal, Mexico	19.53	93.32	9766.71	9840.5
2025-03-10 11:19:16.890151	767	FUR-CH-5378	Furniture	Chairs	Novimex Executive Leather Armchair, Adjustable	8	2429.44	19435.52	2025-03-10 11:19:16.889766	19649.94	Dec 28 2012	Second Class	MX-2012-AZ1075093-41271	Annie Zypern	León, León,, Nicaragua		214.42	19435.52	19649.94
2025-03-10 11:19:23.418576	910	TEC-PH-5355	Technology	Phones	Nokia Smart Phone, Full Size	3	1274.7	3824.1	2025-03-10 11:19:23.418191	3987.8	Oct 26 2012	Standard Class	MX-2012-AF1087031-41208	Art Ferguson	Santa Clara, Villa, Clara, Cuba		163.7	3824.1	3987.8
2025-03-10 11:19:23.666570	911	FUR-BO-3892	Furniture	Bookcases	Dania Classic Bookcase, Traditional	8	2190.72	17525.76	2025-03-10 11:19:23.666180	17614.49	Oct 26 2012	Standard Class	MX-2012-AF1087031-41208	Art Ferguson	Santa Clara, Villa, Clara, Cuba		88.73	17525.76	17614.49
2025-03-10 11:21:29.904593	1235	FUR-TA-3421	Furniture	Tables	Bevis Conference Table, Rectangular	3	1474.13	4422.38	2025-03-10 11:21:29.904219	3618.43	Sep 12 2012	Standard Class	MX-2012-NW1840082-41164	Natalie Webber	Coacalco, México,, Mexico	884.48	80.53	4422.38	3618.43
2025-03-10 11:21:40.386061	1259	TEC-CO-3688	Technology	Copiers	Canon Fax Machine, High-Speed	5	1053.19	5265.95	2025-03-10 11:21:40.385702	5381.04	Oct 20 2012	Second Class	MX-2012-MD1735082-41202	Maribeth Dona	Cuernavaca, Morelos,, Mexico	10.53	125.62	5265.95	5381.04
2025-03-10 11:22:12.984010	1260	OFF-AP-4730	Office Supplies	Appliances	Hoover Microwave, Black	3	616.14	1848.42	2025-03-10 11:22:12.983615	1944.26	Nov 15 2012	First Class	MX-2012-SG2047093-41228	Sheri Gordon	Managua, Managua,, Nicaragua		95.84	1848.42	1944.26
2025-03-10 11:19:37.750458	1286	TEC-PH-5843	Technology	Phones	Samsung Speaker Phone, Cordless	4	336.24	1344.96	2025-03-10 11:19:37.750079	1482.63	Nov 01 2012	Second Class	MX-2012-BT1130582-41214	Beth Thompson	Lázaro Cárdenas,, Michoacán, Mexico		137.67	1344.96	1482.63
2025-03-10 11:21:08.048995	1306	FUR-CH-5413	Furniture	Chairs	Novimex Swivel Stool, Red	6	394.7	2368.22	2025-03-10 11:21:08.048612	1536.65	Nov 07 2012	Second Class	US-2012-LD170055-41220	Lisa DeCherney	Resistencia, Chaco,, Argentina	947.29	115.72	2368.22	1536.65
2025-03-10 11:21:36.749899	1379	FUR-BO-5966	Furniture	Bookcases	Sauder Library with Doors, Metal	6	1238.69	7432.13	2025-03-10 11:21:36.749524	6024.46	Oct 26 2012	Standard Class	MX-2012-PG1882082-41208	Patrick Gardner	Frontera, Tabasco,, Mexico	1486.43	78.76	7432.13	6024.46
2025-03-10 11:21:24.067333	1398	TEC-AC-5115	Technology	Accessories	Logitech Keyboard, Bluetooth	7	338.1	2366.7	2025-03-10 11:21:24.066972	2464.18	Feb 14 2013	First Class	MX-2013-MG1814526-41319	Mike Gockenbach	Arica, Arica y, Parinacota, Chile		97.48	2366.7	2464.18
2025-03-10 11:20:10.540759	1601	FUR-CH-5449	Furniture	Chairs	Office Star Rocking Chair, Set of Two	4	381.76	1527.04	2025-03-10 11:20:10.540352	1637.37	Jun 06 2012	First Class	MX-2012-DB1321018-41066	Dean Braden	São Paulo, São, Paulo, Brazil		110.33	1527.04	1637.37
2025-03-10 11:18:45.882719	1626	FUR-CH-4702	Furniture	Chairs	Hon Swivel Stool, Black	5	537.4	2687.0	2025-03-10 11:18:45.882381	2815.49	Aug 15 2012	First Class	MX-2012-AD1018018-41136	Alan Dominguez	Manaus, Amazonas,, Brazil		128.49	2687.0	2815.49
2025-03-10 11:22:05.204485	1649	OFF-ST-6261	Office Supplies	Storage	Tenex Lockers, Blue	7	952.7	6668.9	2025-03-10 11:22:05.204139	6743.49	May 13 2012	Standard Class	MX-2012-SG2008039-41042	Sandra Glassco	San Salvador, San, Salvador, El Salvador		74.59	6668.9	6743.49
2025-03-10 11:22:16.913937	1702	FUR-TA-3341	Furniture	Tables	Barricks Computer Table, Fully Assembled	5	1274.24	6371.2	2025-03-10 11:22:16.913550	5301.27	Sep 14 2012	First Class	US-2012-SC2072518-41166	Steven Cartwright	Petrópolis, Rio de, Janeiro, Brazil	1274.24	204.31	6371.2	5301.27
